name,primary_category,apple_categories,cueola_tags,semantic_names,availability,source_path,runtime_path,aliases
arrowshape.up,arrows,arrows,action:navigation,action.up,2023,source/arrows/arrowshape.up.svg,runtime/regular-small/arrows/arrowshape.up.svg,
arrowtriangle.right,arrows,arrows,action:navigation,,2019,source/arrows/arrowtriangle.right.svg,runtime/regular-small/arrows/arrowtriangle.right.svg,
balloon,objectsandtools,home;objectsandtools,,,2022,source/objectsandtools/balloon.svg,runtime/regular-small/objectsandtools/balloon.svg,
bandage,health,editing;health;objectsandtools,state:warning,,2019,source/health/bandage.svg,runtime/regular-small/health/bandage.svg,
bell,objectsandtools,multicolor;objectsandtools,,notification.default,2019,source/objectsandtools/bell.svg,runtime/regular-small/objectsandtools/bell.svg,
bell.badge,objectsandtools,multicolor;objectsandtools,,notification.unread,2020,source/objectsandtools/bell.badge.svg,runtime/regular-small/objectsandtools/bell.badge.svg,
bell.badge.slash,objectsandtools,objectsandtools,,notification.unread-muted,2023,source/objectsandtools/bell.badge.slash.svg,runtime/regular-small/objectsandtools/bell.badge.slash.svg,
bell.slash,objectsandtools,multicolor;objectsandtools,,notification.muted,2019,source/objectsandtools/bell.slash.svg,runtime/regular-small/objectsandtools/bell.slash.svg,
bubbles.and.sparkles,editing,health;editing,department:graphics,,2022,source/editing/bubbles.and.sparkles.svg,runtime/regular-small/editing/bubbles.and.sparkles.svg,
calendar,time,multicolor;objectsandtools;time,,content.calendar,2019,source/time/calendar.svg,runtime/regular-small/time/calendar.svg,
checklist,textformatting,textformatting,department:script,content.checklist,2021,source/textformatting/checklist.svg,runtime/regular-small/textformatting/checklist.svg,
checkmark,objectsandtools,multicolor;privacyandsecurity;objectsandtools,action:navigation,action.confirm;state.success,2019,source/objectsandtools/checkmark.svg,runtime/regular-small/objectsandtools/checkmark.svg,
cloud,weather,nature;weather,state:weather,,2019,source/weather/cloud.svg,runtime/regular-small/weather/cloud.svg,
cloud.bolt,weather,nature;weather,state:weather,,2019,source/weather/cloud.bolt.svg,runtime/regular-small/weather/cloud.bolt.svg,
cloud.bolt.rain,weather,nature;weather,state:weather,,2019,source/weather/cloud.bolt.rain.svg,runtime/regular-small/weather/cloud.bolt.rain.svg,
cloud.drizzle,weather,nature;weather,state:weather,,2019,source/weather/cloud.drizzle.svg,runtime/regular-small/weather/cloud.drizzle.svg,
cloud.fog,weather,nature;weather,state:weather,,2019,source/weather/cloud.fog.svg,runtime/regular-small/weather/cloud.fog.svg,
cloud.hail,weather,nature;weather,state:weather,,2019,source/weather/cloud.hail.svg,runtime/regular-small/weather/cloud.hail.svg,
cloud.heavyrain,weather,nature;weather,state:weather,,2019,source/weather/cloud.heavyrain.svg,runtime/regular-small/weather/cloud.heavyrain.svg,
cloud.rain,weather,nature;weather,state:weather,,2019,source/weather/cloud.rain.svg,runtime/regular-small/weather/cloud.rain.svg,
cloud.sleet,weather,nature;weather,state:weather,,2019,source/weather/cloud.sleet.svg,runtime/regular-small/weather/cloud.sleet.svg,
cloud.snow,weather,nature;weather,state:weather,,2019,source/weather/cloud.snow.svg,runtime/regular-small/weather/cloud.snow.svg,
cloud.sun,weather,nature;weather,department:lighting;state:weather,,2019,source/weather/cloud.sun.svg,runtime/regular-small/weather/cloud.sun.svg,
cloud.sun.bolt,weather,nature;weather,department:lighting;state:weather,,2019,source/weather/cloud.sun.bolt.svg,runtime/regular-small/weather/cloud.sun.bolt.svg,
cloud.sun.rain,weather,nature;weather,department:lighting;state:weather,,2019,source/weather/cloud.sun.rain.svg,runtime/regular-small/weather/cloud.sun.rain.svg,
crop,editing,editing;objectsandtools,department:graphics,,2019,source/editing/crop.svg,runtime/regular-small/editing/crop.svg,
cross,health,health;multicolor,state:warning,,2020,source/health/cross.svg,runtime/regular-small/health/cross.svg,
display,media,devices;media,department:playback,content.display;department.video,2020,source/media/display.svg,runtime/regular-small/media/display.svg,
display.2,media,devices;media,department:playback,,2020,source/media/display.2.svg,runtime/regular-small/media/display.2.svg,
